energy,intensity,id,type
2.96,170,11_spectrum_34,aggregate_in_rock
2.97,181,11_spectrum_34,aggregate_in_rock
2.98,196,11_spectrum_34,aggregate_in_rock
2.99,188,11_spectrum_34,aggregate_in_rock
3,180,11_spectrum_34,aggregate_in_rock
3.01,181,11_spectrum_34,aggregate_in_rock
3.02,168,11_spectrum_34,aggregate_in_rock
3.03,203,11_spectrum_34,aggregate_in_rock
3.04,199,11_spectrum_34,aggregate_in_rock
3.05,172,11_spectrum_34,aggregate_in_rock
3.06,171,11_spectrum_34,aggregate_in_rock
3.07,192,11_spectrum_34,aggregate_in_rock
3.08,191,11_spectrum_34,aggregate_in_rock
3.09,173,11_spectrum_34,aggregate_in_rock
3.1,184,11_spectrum_34,aggregate_in_rock
3.11,184,11_spectrum_34,aggregate_in_rock
3.12,181,11_spectrum_34,aggregate_in_rock
3.13,196,11_spectrum_34,aggregate_in_rock
3.14,176,11_spectrum_34,aggregate_in_rock
3.15,180,11_spectrum_34,aggregate_in_rock
3.16,202,11_spectrum_34,aggregate_in_rock
3.17,190,11_spectrum_34,aggregate_in_rock
3.18,194,11_spectrum_34,aggregate_in_rock
3.19,200,11_spectrum_34,aggregate_in_rock
3.2,176,11_spectrum_34,aggregate_in_rock
3.21,185,11_spectrum_34,aggregate_in_rock
3.22,183,11_spectrum_34,aggregate_in_rock
3.23,185,11_spectrum_34,aggregate_in_rock
3.24,190,11_spectrum_34,aggregate_in_rock
3.25,187,11_spectrum_34,aggregate_in_rock
3.26,181,11_spectrum_34,aggregate_in_rock
3.27,174,11_spectrum_34,aggregate_in_rock
3.28,173,11_spectrum_34,aggregate_in_rock
3.29,186,11_spectrum_34,aggregate_in_rock
3.3,201,11_spectrum_34,aggregate_in_rock
3.31,187,11_spectrum_34,aggregate_in_rock
3.32,168,11_spectrum_34,aggregate_in_rock
3.33,173,11_spectrum_34,aggregate_in_rock
3.34,177,11_spectrum_34,aggregate_in_rock
3.35,176,11_spectrum_34,aggregate_in_rock
3.36,188,11_spectrum_34,aggregate_in_rock
3.37,168,11_spectrum_34,aggregate_in_rock
3.38,159,11_spectrum_34,aggregate_in_rock
3.39,174,11_spectrum_34,aggregate_in_rock
3.4,175,11_spectrum_34,aggregate_in_rock
3.41,174,11_spectrum_34,aggregate_in_rock
3.42,175,11_spectrum_34,aggregate_in_rock
3.43,175,11_spectrum_34,aggregate_in_rock
3.44,185,11_spectrum_34,aggregate_in_rock
