Raman_shift,Intensity,Sample,Location,Age,Orgs,Type
2048.347656,1198.049438,BC4_3,Bear Creek,Eocene,Yes,Ancient
2046.693359,-3604.019043,BC4_3,Bear Creek,Eocene,Yes,Ancient
2045.039063,-8708.458008,BC4_3,Bear Creek,Eocene,Yes,Ancient
2043.382813,-4341.866211,BC4_3,Bear Creek,Eocene,Yes,Ancient
2041.726563,-2467.238525,BC4_3,Bear Creek,Eocene,Yes,Ancient
2040.070313,-7693.014648,BC4_3,Bear Creek,Eocene,Yes,Ancient
2038.412109,-2024.904175,BC4_3,Bear Creek,Eocene,Yes,Ancient
2036.755859,-1072.150513,BC4_3,Bear Creek,Eocene,Yes,Ancient
2035.097656,-2512.371582,BC4_3,Bear Creek,Eocene,Yes,Ancient
2033.439453,-3488.168457,BC4_3,Bear Creek,Eocene,Yes,Ancient
2031.78125,3532.211426,BC4_3,Bear Creek,Eocene,Yes,Ancient
2030.123047,-1960.107544,BC4_3,Bear Creek,Eocene,Yes,Ancient
2028.464844,2942.751953,BC4_3,Bear Creek,Eocene,Yes,Ancient
2026.804688,4518.396484,BC4_3,Bear Creek,Eocene,Yes,Ancient
2025.144531,2589.567871,BC4_3,Bear Creek,Eocene,Yes,Ancient
2023.484375,3798.082275,BC4_3,Bear Creek,Eocene,Yes,Ancient
2021.824219,1359.634277,BC4_3,Bear Creek,Eocene,Yes,Ancient
2020.164063,5090.666992,BC4_3,Bear Creek,Eocene,Yes,Ancient
2018.501953,5077.981934,BC4_3,Bear Creek,Eocene,Yes,Ancient
2016.841797,5116.29248,BC4_3,Bear Creek,Eocene,Yes,Ancient
2015.179688,5637.276855,BC4_3,Bear Creek,Eocene,Yes,Ancient
2013.517578,322.420929,BC4_3,Bear Creek,Eocene,Yes,Ancient
2011.853516,-726.02594,BC4_3,Bear Creek,Eocene,Yes,Ancient
2010.191406,514.259888,BC4_3,Bear Creek,Eocene,Yes,Ancient
2008.527344,-1132.896484,BC4_3,Bear Creek,Eocene,Yes,Ancient
2006.863281,1694.97522,BC4_3,Bear Creek,Eocene,Yes,Ancient
2005.199219,-1365.22229,BC4_3,Bear Creek,Eocene,Yes,Ancient
2003.535156,-1352.848511,BC4_3,Bear Creek,Eocene,Yes,Ancient
2001.871094,672.985718,BC4_3,Bear Creek,Eocene,Yes,Ancient
2000.205078,-26.420679,BC4_3,Bear Creek,Eocene,Yes,Ancient
1998.539063,968.520447,BC4_3,Bear Creek,Eocene,Yes,Ancient
1996.873047,-843.77063,BC4_3,Bear Creek,Eocene,Yes,Ancient
1995.207031,-1879.24939,BC4_3,Bear Creek,Eocene,Yes,Ancient
1993.541016,-2627.763184,BC4_3,Bear Creek,Eocene,Yes,Ancient
1991.873047,2989.430176,BC4_3,Bear Creek,Eocene,Yes,Ancient
1990.207031,1875.646362,BC4_3,Bear Creek,Eocene,Yes,Ancient
1988.539063,6581.023926,BC4_3,Bear Creek,Eocene,Yes,Ancient
1986.871094,-798.570068,BC4_3,Bear Creek,Eocene,Yes,Ancient
1985.201172,-4087.609619,BC4_3,Bear Creek,Eocene,Yes,Ancient
1983.533203,-1322.424438,BC4_3,Bear Creek,Eocene,Yes,Ancient
1981.863281,-3010.466797,BC4_3,Bear Creek,Eocene,Yes,Ancient
1980.195313,-3602.110107,BC4_3,Bear Creek,Eocene,Yes,Ancient
1978.525391,-4149.73291,BC4_3,Bear Creek,Eocene,Yes,Ancient
1976.853516,1586.205444,BC4_3,Bear Creek,Eocene,Yes,Ancient
1975.183594,-4150.952148,BC4_3,Bear Creek,Eocene,Yes,Ancient
1973.511719,-805.309875,BC4_3,Bear Creek,Eocene,Yes,Ancient
1971.841797,-2964.997803,BC4_3,Bear Creek,Eocene,Yes,Ancient
1970.169922,-3182.537598,BC4_3,Bear Creek,Eocene,Yes,Ancient
1968.496094,-679.389465,BC4_3,Bear Creek,Eocene,Yes,Ancient
1966.824219,1190.391846,BC4_3,Bear Creek,Eocene,Yes,Ancient
1965.152344,1893.712646,BC4_3,Bear Creek,Eocene,Yes,Ancient
1963.478516,-3016.377686,BC4_3,Bear Creek,Eocene,Yes,Ancient
