ID_1,ID_extra,ID_2,ID_3,plot_category,d13c,2sd_d13c,sd_d13c,pyr,aggregates,phase,locality,date,category,extracted,instrument
10860,c,2_11,Modern seep carbonate,"Confirmed by FISH, extracted from modern seep carbonate",-45.9722881,1.999877122,0.999938561,,y,,"Jaco Scar. Confirmed by FISH, extracted",2021_03,,y,NanoSIMS
10860,c,2_11R,Modern seep carbonate,"Confirmed by FISH, extracted from modern seep carbonate",-51.78755973,2.144001576,1.072000788,,y,,"Jaco Scar. Confirmed by FISH, extracted",2021_03,,y,NanoSIMS
10860,c,2_6,Modern seep carbonate,"Confirmed by FISH, extracted from modern seep carbonate",-40.54248505,1.927361126,0.963680563,,y,,"Jaco Scar. Confirmed by FISH, extracted",2021_03,,y,NanoSIMS
10860,c,2_3,Modern seep carbonate,"Confirmed by FISH, extracted from modern seep carbonate",-47.20211303,2.229051854,1.114525927,,y,,"Jaco Scar. Confirmed by FISH, extracted",2021_03,,y,NanoSIMS
10860,c,2_9,Modern seep carbonate,"Confirmed by FISH, extracted from modern seep carbonate",-54.36943528,2.206975588,1.103487794,,y,,"Jaco Scar. Confirmed by FISH, extracted",2021_03,,y,NanoSIMS
10860,c,2_14R,Modern seep carbonate,"Confirmed by FISH, extracted from modern seep carbonate",-34.78536475,2.189150776,1.094575388,,y,,"Jaco Scar. Confirmed by FISH, extracted",2021_03,,y,NanoSIMS
10860,c,2_0,Modern seep carbonate,"Confirmed by FISH, extracted from modern seep carbonate",-37.76236843,2.153158304,1.076579152,,y,,"Jaco Scar. Confirmed by FISH, extracted",2021_03,,y,NanoSIMS
10860,c,2_15,Modern seep carbonate,"Confirmed by FISH, extracted from modern seep carbonate",-33.01024648,2.204431454,1.102215727,,y,,"Jaco Scar. Confirmed by FISH, extracted",2021_03,,y,NanoSIMS
10860,c,2_13A,Modern seep carbonate,"Confirmed by FISH, extracted from modern seep carbonate",-51.24706166,2.247303332,1.123651666,,y,,"Jaco Scar. Confirmed by FISH, extracted",2021_03,,y,NanoSIMS
10860,c,1_11,Modern seep carbonate,"Confirmed by FISH, extracted from modern seep carbonate",-29.9877776,2.245420236,1.122710118,,y,,"Jaco Scar. Confirmed by FISH, extracted",2021_03,,y,NanoSIMS
10860,c,1_8U,Modern seep carbonate,"Confirmed by FISH, extracted from modern seep carbonate",-31.94781313,2.204428428,1.102214214,,y,,"Jaco Scar. Confirmed by FISH, extracted",2021_03,,y,NanoSIMS
10860,c,1_10,Modern seep carbonate,"Confirmed by FISH, extracted from modern seep carbonate",-38.44200887,2.228900908,1.114450454,,y,,"Jaco Scar. Confirmed by FISH, extracted",2021_03,,y,NanoSIMS
TB5S1,,3,Ancient seep carbonate,Ancient seep carbonate,-36.37665092,1.957798442,0.978899221,,y,,Tepee Buttes,2021_03,,n,NanoSIMS
TB5S1,,4,Ancient seep carbonate,Ancient seep carbonate,-36.73893706,2.381615782,1.190807891,,y,,Tepee Buttes,2021_03,,n,NanoSIMS
TB5S1,,12,Ancient seep carbonate,Ancient seep carbonate,-28.4383664,1.538348858,0.769174429,,y,,Tepee Buttes,2021_03,,n,NanoSIMS
TB5S1,,9,Ancient seep carbonate,Ancient seep carbonate,-24.70717293,1.772433043,0.886216522,,y,,Tepee Buttes,2021_03,,n,NanoSIMS
TB5S1,,KD,Ancient seep carbonate,Ancient seep carbonate,-25.24103836,1.999884127,0.999942063,,y,,Tepee Buttes,2021_03,,n,NanoSIMS
TB5S1,,OD,Ancient seep carbonate,Ancient seep carbonate,-32.63643602,1.648565708,0.824282854,,y,,Tepee Buttes,2021_03,,n,NanoSIMS
TB5S1,,N,Ancient seep carbonate,Ancient seep carbonate,-15.05944533,1.9,0.948819322,,y,,Tepee Buttes,2021_03,,n,NanoSIMS
TB5S1,,KU,Ancient seep carbonate,Ancient seep carbonate,-19.15038942,1.4,0.690095316,,y,,Tepee Buttes,2021_03,,n,NanoSIMS
TB5S1,,IL,Ancient seep carbonate,Ancient seep carbonate,-21.35345457,1.7,0.825918836,,y,,Tepee Buttes,2021_03,,n,NanoSIMS
TB5S1,,10,Ancient seep carbonate,Ancient seep carbonate,-12.94092491,1,0.494474294,,y,,Tepee Buttes,2021_03,,n,NanoSIMS
TB5S1,,8,Ancient seep carbonate,Ancient seep carbonate,-21.21683942,2.3,1.136190446,,y,,Tepee Buttes,2021_03,,n,NanoSIMS
